EclipseNumber,BJD,Error
81126,2459582.1936364584,0.0001302954535038
81127,2459582.289127072,0.0001190591877537
81128,2459582.384747655,0.0001603891821519
81129,2459582.48059126,0.0001413053018485
81129,2459582.575561424,0.0001522815042708
81131,2459582.6716260086,0.0001265213091809
81132,2459582.7673178166,0.0001231309683433
81133,2459582.863056436,0.0001238753337777
81133,2459582.9584450503,0.0001470141854148
81135,2459583.0543277157,0.0001308305329105
81136,2459583.2454091976,0.0001703786986877
81136,2459583.1498408807,0.0001501501362098
81138,2459583.341194844,0.0001345022391951
81139,2459583.4367302335,0.0001509343275581
81140,2459583.5324645634,0.00015926932308
81140,2459583.628015186,0.0001305975774859
81142,2459583.7237058533,0.0001237344391218
81142,2459583.8193062134,0.000114035977567
81144,2459583.915221851,0.0001308191075006
81145,2459584.010745866,0.0001003755308374
81146,2459584.1064034025,0.0001509681364726
81147,2459584.2019589134,0.0001529210394769
81147,2459584.297291924,0.0001423286156278
81149,2459584.3932727925,0.0001195685034114
81150,2459584.4888581047,0.000134882350405
81151,2459584.584536717,0.0001179056507866
81152,2459584.6803429853,0.0001081496535342
81153,2459584.7757890946,0.0001430392997939
81153,2459584.871234508,0.0001352200956067
81155,2459584.967102972,0.0001598743962438
81155,2459585.0627147886,0.0001295417547972
81156,2459585.158125172,0.0001566686462891
81157,2459585.253881752,0.000116682337868
81158,2459585.3494231794,0.00010626217757
81159,2459585.4452383462,0.0001282225455197
81161,2459585.5412702127,0.0001098297901709
81162,2459585.6366968406,0.0001176781448419
81163,2459585.7322784406,0.0001214064793633
81164,2459585.828179711,0.0001452939571728
81165,2459585.9238452497,0.0001017445819174
81166,2459586.019336333,0.0001635896129455
81167,2459586.114983394,0.0001575450283324
81168,2459586.210735684,0.0001304720298729
81169,2459586.3061660836,0.0001773098806842
81169,2459586.40176708,0.0001260222665691
81171,2459586.592957897,0.0001322190393329
81171,2459586.4976582974,0.0001580670974083
81173,2459586.6887904583,0.0001745067520544
81173,2459586.784358632,0.0001128803994241
